final_rank,reduced_formula,superconductor_ranking,best_rbt_score,best_tc_estimate,best_tau_valence,best_kappa_curvature,best_phase_locking,best_prototype,structure_quality,n_elements
1,MgFe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
2,MgFe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
3,MgFe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
4,MgFe4,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
5,MgFe5,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
6,Mg2Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
7,Mg2Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
8,Mg2Fe5,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
9,Mg3Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
10,Mg3Fe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
11,Mg3Fe4,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
12,Mg3Fe5,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
13,Mg4Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
14,Mg4Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
15,Mg5Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
16,Mg5Fe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
17,Mg5Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
18,CaFe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
19,CaFe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
20,CaFe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
21,CaFe4,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
22,CaFe5,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
23,Ca2Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
24,Ca2Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
25,Ca2Fe5,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
26,Ca3Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
27,Ca3Fe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
28,Ca3Fe4,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
29,Ca3Fe5,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
30,Ca4Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
31,Ca4Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
32,Ca5Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
33,Ca5Fe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
34,Ca5Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,1.0000,2
35,CaMgFe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
36,CaMgFe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
37,CaMgFe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
38,Ca2MgFe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
39,Ca2MgFe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
40,Ca2MgFe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
41,Ca3MgFe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
42,Ca3MgFe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
43,Ca3MgFe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
44,CaMg2Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
45,Ca(MgFe)2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
46,CaMg2Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
47,Ca2Mg2Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
48,Ca2Mg2Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
49,Ca3Mg2Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
50,Ca3(MgFe)2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
51,Ca3Mg2Fe3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
52,CaMg3Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
53,CaMg3Fe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
54,Ca(MgFe)3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
55,Ca2Mg3Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
56,Ca2Mg3Fe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
57,Ca2(MgFe)3,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
58,Ca3Mg3Fe,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
59,Ca3Mg3Fe2,1.6927,0.7000,44.1000,0.0000,0.0000,0.0000,perovskite,1.0000,3
60,Ca3Mg3B,1.6395,0.6610,39.3184,0.1429,0.0000,0.0474,perovskite,1.0000,3
61,Mg3Fe3B,1.6395,0.6610,39.3184,0.1429,0.0000,0.0474,perovskite,1.0000,3
62,Ca3Fe3B,1.6395,0.6610,39.3184,0.1429,0.0000,0.0474,perovskite,1.0000,3
63,Ca2Mg3B,1.6303,0.6543,38.5336,0.1667,0.0000,0.0525,perovskite,1.0000,3
64,Mg2Fe3B,1.6303,0.6543,38.5336,0.1667,0.0000,0.0525,perovskite,1.0000,3
65,Mg3Fe2B,1.6303,0.6543,38.5336,0.1667,0.0000,0.0525,perovskite,1.0000,3
66,Ca2Fe3B,1.6303,0.6543,38.5336,0.1667,0.0000,0.0525,perovskite,1.0000,3
67,Ca3Fe2B,1.6303,0.6543,38.5336,0.1667,0.0000,0.0525,perovskite,1.0000,3
68,Li(CaMg)3,1.6197,0.6468,37.6458,0.1429,0.0000,0.0000,perovskite,1.0000,3
69,Li(MgFe)3,1.6197,0.6468,37.6458,0.1429,0.0000,0.0000,perovskite,1.0000,3
70,Li(CaFe)3,1.6197,0.6468,37.6458,0.1429,0.0000,0.0000,perovskite,1.0000,3
71,Ca3Mg3Al,1.6197,0.6468,37.6458,0.1429,0.0000,0.0000,perovskite,1.0000,3
72,Mg3AlFe3,1.6197,0.6468,37.6458,0.1429,0.0000,0.0000,perovskite,1.0000,3
73,Ca3AlFe3,1.6197,0.6468,37.6458,0.1429,0.0000,0.0000,perovskite,1.0000,3
74,Ca3MgB,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
75,Ca2Mg2B,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
76,CaMg3B,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
77,MgFe3B,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
78,Mg2Fe2B,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
79,Mg3FeB,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
80,CaFe3B,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
81,Ca2Fe2B,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
82,Ca3FeB,1.6173,0.6450,37.4457,0.2000,0.0000,0.0585,perovskite,1.0000,3
83,CaMg,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
84,Ca2Mg,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
85,Ca3Mg,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
86,Ca4Mg,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
87,Ca5Mg,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
88,CaMg2,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
89,Ca3Mg2,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
90,Ca5Mg2,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
91,CaMg3,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
92,Ca2Mg3,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
93,Ca4Mg3,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
94,Ca5Mg3,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
95,CaMg4,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
96,Ca3Mg4,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
97,CaMg5,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
98,Ca2Mg5,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
99,Ca3Mg5,1.6127,0.7000,44.1000,0.0000,0.0000,0.0000,rocksalt,0.6000,2
100,AlFe5,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,rocksalt,1.0000,2
101,LiCa3Mg2,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
102,LiCa2Mg3,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
103,LiMg2Fe3,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
104,LiMg3Fe2,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
105,LiCa2Fe3,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
106,LiCa3Fe2,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
107,Ca3Mg2Al,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
108,Ca2Mg3Al,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
109,Mg2AlFe3,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
110,Mg3AlFe2,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
111,Ca2AlFe3,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
112,Ca3AlFe2,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
113,Ca2MgB,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
114,CaMg2B,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
115,Ca3Mg3B2,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
116,MgFe2B,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
117,Mg2FeB,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
118,Mg3Fe3B2,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
119,CaFe2B,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
120,Ca2FeB,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
121,Ca3Fe3B2,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
122,AlFe4,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,rocksalt,1.0000,2
123,LiCa3Mg,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
124,Li(CaMg)2,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
125,LiCaMg3,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
126,LiMgFe3,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
127,Li(MgFe)2,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
128,LiMg3Fe,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
129,LiCaFe3,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
130,Li(CaFe)2,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
131,LiCa3Fe,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
132,Ca3MgAl,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
133,Ca2Mg2Al,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
134,CaMg3Al,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
135,MgAlFe3,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
136,Mg2AlFe2,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
137,Mg3AlFe,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
138,CaAlFe3,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
139,Ca2AlFe2,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
140,Ca3AlFe,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
141,CaMgFeB,1.5872,0.6238,35.0251,0.2500,0.0000,0.0410,quaternary_heusler,1.0000,4
142,Ca3(MgB)2,1.5833,0.6211,34.7214,0.2857,0.0000,0.0684,perovskite,1.0000,3
143,Ca2Mg3B2,1.5833,0.6211,34.7214,0.2857,0.0000,0.0684,perovskite,1.0000,3
144,Mg2Fe3B2,1.5833,0.6211,34.7214,0.2857,0.0000,0.0684,perovskite,1.0000,3
145,Mg3(FeB)2,1.5833,0.6211,34.7214,0.2857,0.0000,0.0684,perovskite,1.0000,3
146,Ca2Fe3B2,1.5833,0.6211,34.7214,0.2857,0.0000,0.0684,perovskite,1.0000,3
147,Ca3(FeB)2,1.5833,0.6211,34.7214,0.2857,0.0000,0.0684,perovskite,1.0000,3
148,AlFe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,rocksalt,1.0000,2
149,LiCa2Mg,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
150,LiCaMg2,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
151,Li2(CaMg)3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
152,LiMgFe2,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
153,LiMg2Fe,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
154,Li2(MgFe)3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
155,LiCaFe2,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
156,LiCa2Fe,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
157,Li2(CaFe)3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
158,Ca2MgAl,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
159,CaMg2Al,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
160,Ca3Mg3Al2,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
161,MgAlFe2,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
162,Mg2AlFe,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
163,Mg3Al2Fe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
164,CaAlFe2,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
165,Ca2AlFe,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
166,Ca3Al2Fe3,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,perovskite,1.0000,3
167,CaMgAlFe,1.5694,0.6115,33.6561,0.2500,0.0000,0.0000,quaternary_heusler,1.0000,4
168,CaMgB,1.5642,0.6079,33.2621,0.3333,0.0000,0.0711,perovskite,1.0000,3
169,CaMg3B2,1.5642,0.6079,33.2621,0.3333,0.0000,0.0711,perovskite,1.0000,3
170,MgFeB,1.5642,0.6079,33.2621,0.3333,0.0000,0.0711,perovskite,1.0000,3
171,MgFe3B2,1.5642,0.6079,33.2621,0.3333,0.0000,0.0711,perovskite,1.0000,3
172,Mg3FeB2,1.5642,0.6079,33.2621,0.3333,0.0000,0.0711,perovskite,1.0000,3
173,CaFeB,1.5642,0.6079,33.2621,0.3333,0.0000,0.0711,perovskite,1.0000,3
174,CaFe3B2,1.5642,0.6079,33.2621,0.3333,0.0000,0.0711,perovskite,1.0000,3
175,Ca3FeB2,1.5642,0.6079,33.2621,0.3333,0.0000,0.0711,perovskite,1.0000,3
176,Al2Fe5,1.5534,0.6006,32.4639,0.2857,0.0000,0.0000,rocksalt,1.0000,2
177,Li2Ca3Mg2,1.5534,0.6006,32.4639,0.2857,0.0000,0.0000,perovskite,1.0000,3
